Author,Year,country,region,pmid,source_database,enrol_begin,enrol_end,FU_begin,FU_end,BC_stages,definitely_no_prevalent_cases,sample,percent_event,n_events,median_FU,PY_FU,ir_1000,ir_cilb,ir_ciub,how_calculated,comments,sample_size,mean_age,age_sd,age_percent_categories,age_comments,males,males_comments,postmenopause,postmenopause_comments,race_white,race_hispanic,race_black,race_asian,race_comments,history_ihd,history_ihd_comments,history_cardio,history_cardio_comments,history_diabetes,history_diabetes_comments,hypertension,hypertension_comments,smoking,smoking_comments,alcohol,alcohol_comments,dyslipidemia,dyslipidemia_comments,atrial_fibrillation,atrial_fibrillation_comments,prior_mi,prior_mi_comments,history_hf,history_hf_comments,history_stroke,history_stroke_comments,pad,pad_comments,vhd,vhd_comments,ckd,ckd_comments,Charlson_Comorbidity_Index,Charlson_Comorbidity_Index_comments,hormone_replacement,hormone_replacement_comments,bmi,bmi_sd,overweight,bmi_comments,stage_0,stage_1,stage_2,stage_3,stage_4,Local_Regional_distant,stage_comments,grade_1,grade_2,grade_3,grade_comments,estrogen_positive,progesteron_positive,her2_positive,triple_negative,hormone_positive,type_comments,node_negative,node_positive,node_comments,side_left,side_right,side_both,side_comments,size_less_2,size_2_5,size_more_5,size_comments,surgery_total,surgery_mastectomia,surgery_breast_conserving,surgery_ovary,surgery_lymph_node,surgery_comments,treatment_adjuvant,treatment_neoadjuvant,treatment_any_hormone,treatment_tamoxifen,treatment_other_aromatase_inhibitor,treatment_chemotherapy,treatment_antracycline,treatment_anti_her,treatment_trastuzumab,treatment_comment,radiation_percent,radiation_dose,radiation_moderate,radiation_technique,radiation_comments
Chou,2020,Taiwan,nationwide,31996695,Taiwan National Health Insurance Research Database,2007,2014,1,8,,1,19007,,522,,791454.00,0.6595455958,0.6053242333,0.7186237871,formula,Taiwan registry with the largest PY FU,19007,49,,median age - 49,,0,,,NA,0,0,0,100,,0,,0,,11.7,,22.8,,,NA,,NA,12.9,,0,,0,,0,,0,,,NA,2.6,,2,,,,,NA,,,,NA,0,51.8,48.2,0,0,,,,,,NA,,,0,0,100,,,,NA,51.2,48.8,0,,57.8,37.1,5.1,,100,,,,,,100,,100,87.4,21.9,,,0,0,,,,,,NA
Gernaat ,2017,Singapore, two hospital-based breast cancer registries ,28465587, two hospital-based breast cancer registries ,1990,2015,0,25,,,5868,,67,6,35208.00,1.902976596,1.497754788,2.417832314,formula,unique database,5868,52,,,,0,,,,0,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,23.5,37.2,12.9,0,,,12.2,34,36.8,,30.2,,,,,,,,,,,,,,,,,89.7,,,,,,,,57.2,,,47.7,,,,,46.6,,,,
Koczwara ,2021,Australia,,33296507,South Australian Cancer Registry ,1990,1999,0,25,,,6259,,583,17,106403.00,5.47916882,5.051971224,5.942490492,formula,unique database,6259,,,,SAMPLE CHARACTERISTICS WERE REPORTED ONLY FOR ALL CANCER PATIENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
von Minckwitz,2017,multinational,multinational,28581356,APHINITY trial,2011,2013,0,4,,,4805,,4,3.783,18177.32,0.220054502,0.08258889695,0.5863255914,formula,unique database,4805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,64,,37.4,62.6,,,,,,40.1,53.2,6.7,,100,,,,,,,,64,,,100,77.9,100,100,,,,,,
Vulsteke,2015,Belgium,"Leuven, single-center",26017071,Leuven Multidisciplinary Breast Cancer Center,2000,2010,0,10,,0,877,,16,3.62,3174.74,5.039782785,3.087503955,8.226519186,formula,unique database,877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.1,4.2,,,9.2,58.8,32.1,,,,,4.8,36.5,53.8,,69.4,60.4,5.2,,,,,,,50.8,,,,,,,,,,,,,,88.7,11.3,,,,100,100,,0,,,,,,
Busby,2018,UK,nationwide,29608546, UK Clinical Practice Research Datalink ,1998,2012,0,14,,,23669,,413,5.5,115716.00,3.569082927,3.240939914,3.930450202,formula,UK database with the largest PY FU,23669,,,,,0,,,,,,,,,,,,,6.2,,,,38.7,,78.3,,,,,,1.1,,1.5,,2.7,,1.1,,,,4.5,,,,29.6,,,,25.4,,0,49,40.2,7.6,3.2,,,17.9,48.7,33.4,,,,,,,,,,,,,,,,,,,81.2,,,,,,,,,61,50.3,28.6,,,,,35.2,,,,
Chan ,2015,Canada,British Columbia,25227961,Breast Cancer Outcomes Unit,1990,1998,0,19,,,5334,,232,14.2,75742.80,3.062997407,2.69315583,3.483628021,formula,British columbia database with the largest PY FU,5334,58,,,,0,,,,,,,,,,,,,2.9,,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,66.5,33.5,0,0,,,17.8,47.5,30.9,,66,,,,,,78.7,16.1,,,,0,,77,,,,100,3.4,96.6,,,,,,33.7,,,23.7,,,,,100,,,,
Lidbrink,2018,multinational,multinational,30506110,OHERA study,2007,2010,0,5.2,,0,3733,,6,5,18665.00,0.321457273,0.1444159946,0.7155355513,formula,unique database,3733,55,,,21-86,1,,,,,,,,,,,,,4.7,,28.3,,,,,,7.5,,,,,,1.3,,,,,,,,,,,,,,,,52,,0,33.7,49.2,17.1,,,,,,,,62.6,,,,,,55.4,44.6,,,,,,,,,,,,,,,,100,,1.5,,,,90.2,100,100,,35.8,,,,
Kim,2021,Korea,4 medical centers,34369199, Clinical Data Warehouse of Hallym Medical Center,2005,2015,0,6,,0,1256,,3,4.058,5096.85,0.5885990714,0.1898318595,1.825030149,formula,unique database,1256,51.4,10.7,,,0,,,,,,,100,,,,,,8.7,,16.5,,,,,,27.9,,,,0.6,Prior myocardial infarction or peripheral artery occlusive disease,0.4,,,,,,,,2.6,eGFR<60 mL/min per 1.73 m²,,,,,24.4,3.5,,,1,43.1,38.5,16.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,99.9,18.1,81.3,,,others 0.5,,,70.4,,,79.5,70.7,11.9,11.9,,100,58.2 +- 6.1,,,
Elshof ,2018,the Netherlands ,nationwide,28375855,The Netherlands Cancer Registry,1989,2004,0,15,,,9799,,368,9.8,96030.20,3.83212781,3.459929281,4.244365233,formula,DCIS only,9799,57.4,,,(50.6–66.1),0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,
