Author,Year,country,region,pmid,source_database,enrol_begin,enrol_end,FU_begin,FU_end,BC_stages,definitely_no_prevalent_cases,sample,percent_event,n_events,median_FU,PY_FU,ir_1000,ir_cilb,ir_ciub,how_calculated,comments,sample_size,mean_age,age_sd,age_percent_categories,age_comments,males,males_comments,postmenopause,postmenopause_comments,race_white,race_hispanic,race_black,race_asian,race_comments,history_ihd,history_ihd_comments,history_cardio,history_cardio_comments,history_diabetes,history_diabetes_comments,hypertension,hypertension_comments,smoking,smoking_comments,alcohol,alcohol_comments,dyslipidemia,dyslipidemia_comments,atrial_fibrillation,atrial_fibrillation_comments,prior_mi,prior_mi_comments,history_hf,history_hf_comments,history_stroke,history_stroke_comments,pad,pad_comments,vhd,vhd_comments,ckd,ckd_comments,Charlson_Comorbidity_Index,Charlson_Comorbidity_Index_comments,hormone_replacement,hormone_replacement_comments,bmi,bmi_sd,overweight,bmi_comments,stage_0,stage_1,stage_2,stage_3,stage_4,Local_Regional_distant,stage_comments,grade_1,grade_2,grade_3,grade_comments,estrogen_positive,progesteron_positive,her2_positive,triple_negative,hormone_positive,type_comments,node_negative,node_positive,node_comments,side_left,side_right,side_both,side_comments,size_less_2,size_2_5,size_more_5,size_comments,surgery_total,surgery_mastectomia,surgery_breast_conserving,surgery_ovary,surgery_lymph_node,surgery_comments,treatment_adjuvant,treatment_neoadjuvant,treatment_any_hormone,treatment_tamoxifen,treatment_other_aromatase_inhibitor,treatment_chemotherapy,treatment_antracycline,treatment_anti_her,treatment_trastuzumab,treatment_comment,radiation_percent,radiation_dose,radiation_moderate,radiation_technique,radiation_comments
Franchi,2020,Italy,"Lombardy, Lazio, Marche, Abruzzo, Sardinia and Sicily",32770690,Italian National Health Service ,2007,2016,0,8,,1,18624,,308,5.88,109509.12,2.812551137,2.515346543,3.144872392,formula,different database,18624,55,,,,0,,,,,,,,,,,,,6.9,,29.9,,,,,,,,,,,,0,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,57,43,,,,,,,,,,100,33.4,66.6,,,,,,,,,100,,33.3,33.3,,,,,,
Boekel,2015,The Netherlands ,nationwide,27026313,Netherlands Cancer Registry,1989,2005,5,21,,0,59388,,990,9,534492.00,1.852226039,1.740365748,1.97127604,formula,invasive BC patients,59388,,,,,0,,,,,,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,40.2,50.5,7.5,0,,,,,,,,,,,,,,,,51.6,48.3,,,,,,,100,49.5,46.7,,,,,,29.2,,,25.4,,,,,66.4,,,,
Choi,2018,Korea,nationwide,29737474,Korean Health Insurance Review and Assessment Service ,2007,2016,0,10,,1,83544,,3154,3.62,302429.28,10.4288844,10.07119449,10.79927807,formula,Korean cohort with the largest PY FU,83544,49,9.5,,,0,,,N/A,,,,100,,8.7,,,N/A,18.8,,24.6,,,n/a,,n/a,39,,,n/a,,n/a,0,,,n/a,10.1,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,97.2,97.2,2.7,2.7,,72.6,,,,
Qin,2014,USA,"Cleveland, single center",25342090,University Hospitals Case Medical Center ,1998,2006,0,14.4,,0,1169,,120,7.6,8884.40,13.50682094,11.29400564,16.15318938,formula,Cleveland unique database,1169,52.6,11.12,,,0,,,,,,,,,4.4,,,,9.3,,38.3,,34,,,,22.9,,,,,,,,,,,,,,,,,,,,,,,,0,18.1,,,2.8,,,,,,,65.6,57.7,21.4,,,,,,,,,,,,,,,,,,,,,100,,,,,100,100,10.6,10,,,,,,
Chien,2016,Taiwan,nationwide,27310478,Taiwanese National Health Insurance Research Database,2006,2009,0,7,,1,23006,,675,5.29,121701.74,5.546346338,5.14332089,5.980952455,formula,Taiwan registry with the largest PY FU,23006,50.99,,,,0,,,,0,0,0,100,,3.25,,,,8.18,,17.67,,,,,,2.34,,,,,,0,,,,,,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.55,61.82,31.73,,,,77.62,9.95,51.44,,,100,76.77,4.63,4.63,,33.54,,,,
Haque,2016,USA,Southern California,27100398,SEER-Kaiser Permanente Southern California,1991,2010,0,21,,1,13273,,630,4.5,72886.00,8.643635266,7.994349452,9.345654836,reported,unique Southern California cohort,13273,66.8,8.1,,,0,,100,,71,10.1,8.7,9.2,,0,,0,,24.3,,70.3,,,,,,,,0,,0,,0,,0,,,,0,,,,,,,,,,39.4,,8.5,50.5,32.3,6.1,2.6,,,26.6,46,19.3,,99.7,63.7,3.7,,100,,60.1,25.1,,50.6,49.3,0.1,,,,,,95.6,40,55.6,,,,,,,,,27.1,,,,,60.1,,,,
Fogarassy,2019,Hungary,nationwide,30905520,National Health Insurance Fund of Hungary,2004,2016,0,13,,1,8068,6.9,557,5.89,47520.52,11.72125221,10.78715157,12.73624018,formula,different database,8068,,,,,0.8,,,,,,,,,0,,0,,14.4,,63.5,,,,,,16.6,,,,3.2,,0,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.8,47.1,3.6,,,,,,,,,,,,,,,,,,100,20.6,18.7,,81.8,,,,
von Minckwitz,2017,multinational,multinational,28581356,APHINITY trial,2011,2013,0,4,,1,4805,,21,3.783,18177.32,1.155286135,0.7532493113,1.771904779,formula,different database,4805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,64,,37.4,62.6,,,,,,40.1,53.2,6.7,,100,,,,,,,,64,,,100,77.9,100,100,,,,,,
Seicean ,2013,USA,Cleveland ,23425978,Cleveland Clinic Health System ,2005,2010,0,7,,1,318,,32,3.2,1017.60,31.44654088,22.23809182,44.46806593,formula,Cleveland unique database,318,56.6,10.3,,,0,,,,59.8,,,,,,,,,12,,38.7,,68.8,,,,,,,,0,,0,,2.3,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,100,81.8,,37.1,,58.5,,,,
Vulsteke,2015,Belgium,"Leuven, single-center",26017071,Leuven Multidisciplinary Breast Cancer Center,2000,2010,0,10,,0,877,,16,3.62,3174.74,5.039782785,3.087503955,8.226519186,formula,different database,877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.1,4.2,,,9.2,58.8,32.1,,,,,4.8,36.5,53.8,,69.4,60.4,5.2,,,,,,,50.8,,,,,,,,,,,,,,88.7,11.3,,,,100,100,,0,,,,,,
