Author,Year,country,region,pmid,source_database,enrol_begin,enrol_end,FU_begin,FU_end,BC_stages,definitely_no_prevalent_cases,sample,percent_event,n_events,median_FU,PY_FU,ir_1000,ir_cilb,ir_ciub,how_calculated,comments,sample_size,mean_age,age_sd,age_percent_categories,age_comments,males,males_comments,postmenopause,postmenopause_comments,race_white,race_hispanic,race_black,race_asian,race_comments,history_ihd,history_ihd_comments,history_cardio,history_cardio_comments,history_diabetes,history_diabetes_comments,hypertension,hypertension_comments,smoking,smoking_comments,alcohol,alcohol_comments,dyslipidemia,dyslipidemia_comments,atrial_fibrillation,atrial_fibrillation_comments,prior_mi,prior_mi_comments,history_hf,history_hf_comments,history_stroke,history_stroke_comments,pad,pad_comments,vhd,vhd_comments,ckd,ckd_comments,Charlson_Comorbidity_Index,Charlson_Comorbidity_Index_comments,hormone_replacement,hormone_replacement_comments,bmi,bmi_sd,overweight,bmi_comments,stage_0,stage_1,stage_2,stage_3,stage_4,Local_Regional_distant,stage_comments,grade_1,grade_2,grade_3,grade_comments,estrogen_positive,progesteron_positive,her2_positive,triple_negative,hormone_positive,type_comments,node_negative,node_positive,node_comments,side_left,side_right,side_both,side_comments,size_less_2,size_2_5,size_more_5,size_comments,surgery_total,surgery_mastectomia,surgery_breast_conserving,surgery_ovary,surgery_lymph_node,surgery_comments,treatment_adjuvant,treatment_neoadjuvant,treatment_any_hormone,treatment_tamoxifen,treatment_other_aromatase_inhibitor,treatment_chemotherapy,treatment_antracycline,treatment_anti_her,treatment_trastuzumab,treatment_comment,radiation_percent,radiation_dose,radiation_moderate,radiation_technique,radiation_comments
Obi,2014,Germany,Hamburg and the Rhine-Neckar-Karlsruhe region,24570215,MARIE plus,2001,2005,0,8,,1,2423,,109,5.775,13992.83,7.78970651,6.456382859,9.398378138,formula,unique database,2542,62.1,,,,0,,90.6,,,,,,,,,,,6.6,,37.4,,82.9,,86.9,,,,,,,,,,,,,,,,,,,,69.8,,,,15.5,,6.4,45.7,36,6,2.8,,,,,,,,,16.2,,,,,,,,,,,,,,,,,,,,,,,,68.9,46.2,45.8,,1.8,1.8,,78.7,,,,
Haque,2016,USA,Southern California,27100398,SEER-Kaiser Permanente Southern California,1991,2010,0,20,,1,13273,,396,4.5,72886.00,5.433142167,4.923521018,5.995512906,formula,unique database,13273,66.8,8.1,,,0,,100,,71,10.1,8.7,9.2,,0,,0,,24.3,,70.3,,,,,,,,0,,0,,0,,0,,,,0,,,,,,,,,,39.4,,8.5,50.5,32.3,6.1,2.6,,,26.6,46,19.3,,99.7,63.7,3.7,,100,,60.1,25.1,,50.6,49.3,0.1,,,,,,95.6,40,55.6,,,,,,,,,27.1,,,,,60.1,,,,
Rabaglio,2020,multinational,multinational,33159633,BIG 1‑98 ,1999,2003,0,5,,0,6144,,102,3.817,23451.65,4.349374509,3.582149808,5.280923365,formula,BIG 1-98 with the largest PY FU,6144,70,,,,0,,100,,,,,,,1.9,,6,,,,32.3,,36.5,,,,13.3,,,,,,0.2,,1.3,,,,,,,,,,,,,,20.4,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,100,,,,,,,,,75,,,,,,,,,,,
Ng,2019,Canada,British Columbia,31280456,Breast Cancer Registry,2005,2009,0,8,,1,11732,,219,5,65754.00,3.330595857,2.917440521,3.80226047,reported,,12127,,,,,0,,,,,,,,,0,,39,,,,,,,,,,16.2,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4,,73.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kim,2019,Korea,4 hospitals,34369199,Clinical Data Warehouse of Hallym Medical Cente,2005,2015,0,6,,0,1256,,9,4.058,5096.85,1.765797214,0.9187593373,3.393750328,formula,sensitivity analyses,1256,51.4,10.7,,,0,,,,,,,100,,,,,,8.7,,16.5,,,,,,27.9,,,,0.6,Prior myocardial infarction or peripheral artery occlusive disease,0.4,,,,,,,,2.6,eGFR<60 mL/min per 1.73 m²,,,,,24.4,3.5,,,1,43.1,38.5,16.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,99.9,18.1,81.3,,,others 0.5,,,70.4,,,79.5,70.7,11.9,11.9,,100,58.2 +- 6.1,,,
Matthews,2021,UK,nationwide ,33177117, Clinical Practice Research Datalink primary care data,2002,2016,1,14,,1,10005,,88,3.5,10972.57,8.02,6.51,9.88,reported,unique database,10005,69,,,62–78 - all the data are for UK population only,,,,,,,,,,,,,,11.9,,46.7,,50.1,,69.4,,30,,,,,,,,,,,,,,19.6,,,,,,27,,26.7,range (24–31),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gernaat,2018,the Netherlands,"Amsterdam, Doetinchem, Maastricht, Utrecht",29492735,"EPIC-NL, MORGEN, Prospect ",1993,1997,0,18,,0,1103,,12,5,5515.00,2.175883953,1.235692737,3.83143061,formula,unique database,1103,54,,,50-60,0,,,,,,,,,,,6.2,,2.4,,,,51.7,,,,,,,,,,,,,,,,,,,,,,,,25.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haque,2014,USA,"Washington,  Southern California,  New Mexico, Michigan, Minnesota, Minnesota",24512167,BOWI cohort -  Cancer Research Network ,1990,1994,5,15,,0,1361,,108,5,7407.00,14.58080194,12.07460685,17.60718075,reported,unique database,1361,,,,,0,,100,,81.93,5.29,10.07,2.72,,,,,,15.14,,63.63,,30.35,,,,,,,,,,,,,,,,,,,,,,,,,,21.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abdel-Qadir,2019,Canada,Ontario,30715404,Ontario Cancer Registry,2005,2015,0,12,,0,78318,2.76,2162,5.7,446412.60,4.843053265,4.643147084,5.051566213,formula,,78318,61,,,51–72,0,,,,,,,,,8,,,,16.6,,47,,,,,,,,2,,,,4.4,,2.7,,1.9,,,,3,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9,46.3,,32.9,11.9,,,65.3,,,,
Park,2017,USA,40 clinical centers,28934233,Women’s Health Initiative,1998,2010,0,10,,1,4340,,101,,39990.50,2.5256,2.0718,3.0788,fixed Meta-analysis,unique database,4518,68.03,7.19,,,0,,100,,89.2,,,,,0,,0,,4.3,,29.9,,49.9,,,,11.3,,,,0,,0,,0,,0,,,,,,,,61.9,,,,29.9,,,,,,,,75.16/ 22.74/ 0.67 Local/Regional/distant,26.47,38.55,24.15,,78.46,64.98,11.18,,,,68.55,21.68,,50.3,49.06,0.12,,77,,,18.27 - >2 cm,,,,,,,,,,,,,,,,,,,,,
